title,homepage_url,is_public,is_hidden_in_reading_list,profile_type,profile_user_name,profile_user_image_url,feed_url
Adam Tuliper's Development Tips,http://www.adamtuliper.com/,false,false,GOOGLE,Vipul Mehta,https://lh3.googleusercontent.com/a/ACg8ocLzr4JCpDAsi5zUDqIf4FVxlAqR7NVMeZPfHV0WSd7aHLFvY8NLQQ,
Sukesh Marla,http://www.sukesh-marla.com/,false,false,GOOGLE,Vipul Mehta,https://lh3.googleusercontent.com/a/ACg8ocLzr4JCpDAsi5zUDqIf4FVxlAqR7NVMeZPfHV0WSd7aHLFvY8NLQQ,
Mehtalogy,http://blogs.mehtalogy.in/,true,false,BLOGGER,Vipul Mehta,https://1.bp.blogspot.com/-7olnM4aAlm8/ZWLw1-A5hEI/AAAAAAAA30U/-rXuRM6cn1gOyiacYR4CC0pmvsI6Qh4FwCK4BGAYYCw/s45/01.jpg,
Google Custom Search,http://customsearch.googleblog.com/,true,false,PEOPLESENSE,Vipul,https://lh3.googleusercontent.com/p/AF1QipMgo6SSlkdKuAbEH3M3K7oSOSkARR0vdOeaULKc?key=CJ_G2aS4u4vXZA,
"
	Latest News | Breaking News | Latest India News | Latest World News | Daily News | India Latest News | Top News Stories
",http://24dunia.com/,true,false,PEOPLESENSE,Vipul,https://lh3.googleusercontent.com/p/AF1QipMgo6SSlkdKuAbEH3M3K7oSOSkARR0vdOeaULKc?key=CJ_G2aS4u4vXZA,none:/http://24dunia.com/
IamDBA.com,http://meetajitesh.blogspot.com/,true,false,PEOPLESENSE,Vipul,https://lh3.googleusercontent.com/p/AF1QipMgo6SSlkdKuAbEH3M3K7oSOSkARR0vdOeaULKc?key=CJ_G2aS4u4vXZA,
Samit's Blog,http://samitpathak.blogspot.com/,true,false,PEOPLESENSE,Vipul,https://lh3.googleusercontent.com/p/AF1QipMgo6SSlkdKuAbEH3M3K7oSOSkARR0vdOeaULKc?key=CJ_G2aS4u4vXZA,
Microsoft Azure Blog,https://azure.microsoft.com/blog/,true,false,PEOPLESENSE,Vipul,https://lh3.googleusercontent.com/p/AF1QipMgo6SSlkdKuAbEH3M3K7oSOSkARR0vdOeaULKc?key=CJ_G2aS4u4vXZA,https://azure.microsoft.com/en-in/blog/feed/
Cloud Shaper,https://cloudshaper.wordpress.com/,true,false,PEOPLESENSE,Vipul,https://lh3.googleusercontent.com/p/AF1QipMgo6SSlkdKuAbEH3M3K7oSOSkARR0vdOeaULKc?key=CJ_G2aS4u4vXZA,https://cloudshaper.wordpress.com/feed/
DotNetIQ,http://www.dotnetiq.com/,true,false,PEOPLESENSE,Vipul,https://lh3.googleusercontent.com/p/AF1QipMgo6SSlkdKuAbEH3M3K7oSOSkARR0vdOeaULKc?key=CJ_G2aS4u4vXZA,
Random Thoughts,https://vcsjones.com/,true,false,PEOPLESENSE,Vipul,https://lh3.googleusercontent.com/p/AF1QipMgo6SSlkdKuAbEH3M3K7oSOSkARR0vdOeaULKc?key=CJ_G2aS4u4vXZA,https://vcsjones.com/feed/
ScottGu's Blog,http://weblogs.asp.net:80/scottgu/,true,false,PEOPLESENSE,Vipul,https://lh3.googleusercontent.com/p/AF1QipMgo6SSlkdKuAbEH3M3K7oSOSkARR0vdOeaULKc?key=CJ_G2aS4u4vXZA,https://weblogs.asp.net/scottgu/rss?containerid=13
PeterKellner.net,http://peterkellner.net/,true,false,PEOPLESENSE,Vipul,https://lh3.googleusercontent.com/p/AF1QipMgo6SSlkdKuAbEH3M3K7oSOSkARR0vdOeaULKc?key=CJ_G2aS4u4vXZA,http://peterkellner.net/feed/
Microsoft Azure Blog,https://azure.microsoft.com/en-in/blog/,true,false,PEOPLESENSE,Vipul,https://lh3.googleusercontent.com/p/AF1QipMgo6SSlkdKuAbEH3M3K7oSOSkARR0vdOeaULKc?key=CJ_G2aS4u4vXZA,none:/https://azure.microsoft.com/en-in/blog/
